timestamp,tick_index,open,high,low,close,volume,macd_fast,macd_slow,macd_diff,signal,hist,ema10,ema20,ema50,ema100,ema200,ema10_vs_20,ema20_vs_50,rsi_extreme,pine_bar_color,pine_bg_color,jerk_raw,acc_smooth,velocity,norm_jerk,pos_norm_20,tr_5d_avg,tr_20d_avg,tr_ratio_5d_20d,tr_ratio_20d_60d,readable_time
1690156800000,29,30083.75,30099.58,28861.90,29176.50,39628.9969,-213.1080,-213.1080,-213.1080,-124.4703,-88.6377,29895.4459,30097.0112,30290.5247,30371.8700,30416.0638,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,10.6923,682.6880,764.1190,1.6197,0,2023-07-24 00:00:00
1690243200000,30,29176.50,29376.00,29047.65,29228.91,21565.7478,-254.8570,-254.8570,-254.8570,-150.5476,-104.3094,29774.2576,30014.3349,30248.8928,30349.2372,30404.2513,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,12.4736,579.0580,746.6330,0.4398,0,2023-07-25 00:00:00
1690329600000,31,29228.91,29690.00,29096.94,29351.96,33931.6337,-274.8460,-274.8460,-274.8460,-175.4073,-99.4387,29697.4762,29951.2516,30213.7189,30329.4891,30393.7808,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,16.6557,630.5980,693.8085,0.8548,0,2023-07-26 00:00:00
1690416000000,32,29351.95,29567.49,29083.85,29222.78,22476.4763,-297.6798,-297.6798,-297.6798,-199.8618,-97.8180,29611.1678,29881.8734,30174.8586,30307.5741,30382.1290,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,12.2652,652.5460,680.5915,0.7106,0,2023-07-27 00:00:00
1690502400000,33,29222.78,29542.22,29123.12,29314.14,23993.6163,-304.8891,-304.8891,-304.8891,-220.8673,-84.0219,29557.1628,29827.8035,30141.1049,30287.9021,30371.5023,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,15.3703,612.3660,684.4295,0.6123,0,2023-07-28 00:00:00
1690588800000,34,29314.14,29406.92,29256.18,29352.90,10851.3684,-303.9710,-303.9710,-303.9710,-237.4880,-66.4830,29520.0241,29782.5746,30110.1949,30269.3872,30361.3669,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,16.6876,394.9780,672.7465,0.2241,0,2023-07-29 00:00:00
1690675200000,35,29352.90,29449.00,29033.24,29281.09,15706.9744,-305.5160,-305.5160,-305.5160,-251.0936,-54.4224,29476.5815,29734.8142,30077.6810,30249.8170,30350.6179,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,14.2470,412.46,638.7455,0.6509,0,2023-07-30 00:00:00
1690761600000,36,29281.09,29530.00,29101.80,29232.25,22605.4896,-307.1409,-307.1409,-307.1409,-262.3031,-44.8378,29432.1576,29686.9509,30044.5268,30229.6671,30339.4899,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,12.5871,379.4880,634.4740,0.6749,0,2023-07-31 00:00:00
1690848000000,37,29232.26,29739.25,28585.70,29705.99,44719.6516,-267.1226,-267.1226,-267.1226,-263.2670,-3.8556,29481.9453,29688.7642,30031.2509,30219.2973,30333.1864,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,34.8078,513.47,653.4890,1.7652,0,2023-08-01 00:00:00
1690934400000,38,29705.99,30047.50,28927.50,29186.01,48181.6514,-274.2049,-274.2049,-274.2049,-265.4545,-8.7504,29428.1389,29640.8828,29998.1042,30198.8362,30321.7717,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,19.7191,653.65,631.8290,1.7726,0,2023-08-02 00:00:00
